ADR_ID,ADRTYPE,ADR_MTRL_TYPES,CS_NUMBER,T_PULSE,P_LOCATION,IS_DISPLAY,ZOOM_LV,BAR_CODE,BAR_CODE2,POSE_X,POSE_Y,POSE_T,POSE_X2,POSE_Y2,POSE_T2,PORT_NAME,POST_BLO_EXIT,POST_HID_EXIT,STAGE_ENABLE_01,STAGE_ENABLE_02,STAGE_ENABLE_03,STAGE_ENABLE_04,STAGE_ENABLE_05,STAGE_ENABLE_06,STAGE_ENABLE_07,STAGE_ENABLE_08,STAGE_ENABLE_09,STAGE_ENABLE_10,STAGE_ENABLE_11,STAGE_ENABLE_12,STAGE_ENABLE_13,STAGE_ENABLE_14,STAGE_ENABLE_15,STAGE_ENABLE_16,STAGE_MTRL_TYPE_01,OFFSET_X_F01,OFFSET_Y_F01,OFFSET_T_F01,OFFSET_ZF_F01,OFFSET_ZR_F01,OFFSET_X_R01,OFFSET_Y_R01,OFFSET_T_R01,OFFSET_ZF_R01,OFFSET_ZR_R01,STAGE_MTRL_TYPE_02,OFFSET_X_F02,OFFSET_Y_F02,OFFSET_T_F02,OFFSET_ZF_F02,OFFSET_ZR_F02,OFFSET_X_R02,OFFSET_Y_R02,OFFSET_T_R02,OFFSET_ZF_R02,OFFSET_ZR_R02,STAGE_MTRL_TYPE_03,OFFSET_X_F03,OFFSET_Y_F03,OFFSET_T_F03,OFFSET_ZF_F03,OFFSET_ZR_F03,OFFSET_X_R03,OFFSET_Y_R03,OFFSET_T_R03,OFFSET_ZF_R03,OFFSET_ZR_R03,STAGE_MTRL_TYPE_04,OFFSET_X_F04,OFFSET_Y_F04,OFFSET_T_F04,OFFSET_ZF_F04,OFFSET_ZR_F04,OFFSET_X_R04,OFFSET_Y_R04,OFFSET_T_R04,OFFSET_ZF_R04,OFFSET_ZR_R04,STAGE_MTRL_TYPE_05,OFFSET_X_F05,OFFSET_Y_F05,OFFSET_T_F05,OFFSET_ZF_F05,OFFSET_ZR_F05,OFFSET_X_R05,OFFSET_Y_R05,OFFSET_T_R05,OFFSET_ZF_R05,OFFSET_ZR_R05,STAGE_MTRL_TYPE_06,OFFSET_X_F06,OFFSET_Y_F06,OFFSET_T_F06,OFFSET_ZF_F06,OFFSET_ZR_F06,OFFSET_X_R06,OFFSET_Y_R06,OFFSET_T_R06,OFFSET_ZF_R06,OFFSET_ZR_R06,STAGE_MTRL_TYPE_07,OFFSET_X_F07,OFFSET_Y_F07,OFFSET_T_F07,OFFSET_ZF_F07,OFFSET_ZR_F07,OFFSET_X_R07,OFFSET_Y_R07,OFFSET_T_R07,OFFSET_ZF_R07,OFFSET_ZR_R07,STAGE_MTRL_TYPE_08,OFFSET_X_F08,OFFSET_Y_F08,OFFSET_T_F08,OFFSET_ZF_F08,OFFSET_ZR_F08,OFFSET_X_R08,OFFSET_Y_R08,OFFSET_T_R08,OFFSET_ZF_R08,OFFSET_ZR_R08,STAGE_MTRL_TYPE_09,OFFSET_X_F09,OFFSET_Y_F09,OFFSET_T_F09,OFFSET_ZF_F09,OFFSET_ZR_F09,OFFSET_X_R09,OFFSET_Y_R09,OFFSET_T_R09,OFFSET_ZF_R09,OFFSET_ZR_R09,STAGE_MTRL_TYPE_10,OFFSET_X_F10,OFFSET_Y_F10,OFFSET_T_F10,OFFSET_ZF_F10,OFFSET_ZR_F10,OFFSET_X_R10,OFFSET_Y_R10,OFFSET_T_R10,OFFSET_ZF_R10,OFFSET_ZR_R10,STAGE_MTRL_TYPE_11,OFFSET_X_F11,OFFSET_Y_F11,OFFSET_T_F11,OFFSET_ZF_F11,OFFSET_ZR_F11,OFFSET_X_R11,OFFSET_Y_R11,OFFSET_T_R11,OFFSET_ZF_R11,OFFSET_ZR_R11,STAGE_MTRL_TYPE_12,OFFSET_X_F12,OFFSET_Y_F12,OFFSET_T_F12,OFFSET_ZF_F12,OFFSET_ZR_F12,OFFSET_X_R12,OFFSET_Y_R12,OFFSET_T_R12,OFFSET_ZF_R12,OFFSET_ZR_R12,STAGE_MTRL_TYPE_13,OFFSET_X_F13,OFFSET_Y_F13,OFFSET_T_F13,OFFSET_ZF_F13,OFFSET_ZR_F13,OFFSET_X_R13,OFFSET_Y_R13,OFFSET_T_R13,OFFSET_ZF_R13,OFFSET_ZR_R13,STAGE_MTRL_TYPE_14,OFFSET_X_F14,OFFSET_Y_F14,OFFSET_T_F14,OFFSET_ZF_F14,OFFSET_ZR_F14,OFFSET_X_R14,OFFSET_Y_R14,OFFSET_T_R14,OFFSET_ZF_R14,OFFSET_ZR_R14,STAGE_MTRL_TYPE_15,OFFSET_X_F15,OFFSET_Y_F15,OFFSET_T_F15,OFFSET_ZF_F15,OFFSET_ZR_F15,OFFSET_X_R15,OFFSET_Y_R15,OFFSET_T_R15,OFFSET_ZF_R15,OFFSET_ZR_R15,STAGE_MTRL_TYPE_16,OFFSET_X_F16,OFFSET_Y_F16,OFFSET_T_F16,OFFSET_ZF_F16,OFFSET_ZR_F16,OFFSET_X_R16,OFFSET_Y_R16,OFFSET_T_R16,OFFSET_ZF_R16,OFFSET_ZR_R16,STAGE_CNT,PIO_ID,PIO_CHN,PIO_CS_VAL,PIO_BYPASS,ALIGN_RESCUE_BYPASS,PORT1_ID,P1_LD_VH_TYPE,P1_ULD_VH_TYPE,PORT2_ID,P2_LD_VH_TYPE,P2_ULD_VH_TYPE,DISABLED,STAGE_DIRECTION
16304,1,0,,,,1,10,6264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
16305,1,0,,,,1,10,6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
16306,1,0,,,,1,10,6582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
16307,1,0,,,,1,10,6744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
18318,1,0,,,,1,10,28734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
18319,1,0,,,,1,10,41166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
18320,1,0,,,,1,10,4740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
18321,1,0,,,,1,10,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
18322,1,0,,,,1,10,5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
18327,1,0,,,,1,10,37200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0
