SEC_ID,SEG_NUM,FROM_ADR_ID,TO_ADR_ID,SEC_DIS
0011,001,52001,48002,4297
0021,002,48002,48138,2150
0031,003,49004,52006,2139
0041,004,52006,48007,2490
0051,005,48007,20008,1615
0052,005,20008,20010,1810
0053,005,20010,20011,1810
0054,005,20011,20012,1810
0055,005,20012,48013,655
0061,006,48013,48014,2490
0071,007,48014,20015,2444
0072,007,20015,48016,975
0081,008,48016,20017,863
0082,008,20017,48018,1590
0091,009,48018,20019,115
0092,009,20019,20022,10310
0093,009,20022,48023,275
0101,010,48023,52024,2490
0111,011,52024,20026,1810
0112,011,20026,52027,1934
0121,012,52027,20029,269
0122,012,20029,48030,1828
0131,013,48030,17031,2028
0132,013,17031,24032,597
0133,013,24032,21033,1854
0134,013,21033,20034,1809
0135,013,20034,48035,236
0141,014,48035,20036,1580
0142,014,20036,48037,910
0151,015,48037,20038,888
0152,015,20038,17039,1146
0153,015,17039,17040,1503
0154,015,17040,20041,898
0155,015,20041,48042,1082
0161,016,48042,20043,730
0162,016,20043,52045,1760
0171,017,52045,20046,1838
0172,017,20046,17047,233
0173,017,17047,17048,1044
0174,017,17048,48049,2031
0181,018,48049,20050,856
0182,018,20050,48051,1633
0191,019,48051,20052,186
0192,019,20052,20053,1799
0193,019,20053,48054,595
0201,020,48054,48055,2490
0211,021,48055,17056,2003
0212,021,17056,17057,2504
0213,021,17057,48058,1982
0221,022,48058,48059,2490
0231,023,48059,48060,2150
0241,024,48058,48060,2150
0251,025,48060,48061,900
0261,026,48061,48062,2150
0271,027,48061,48063,2150
0281,028,48062,48063,2500
0291,029,48063,17064,2031
0292,029,17064,17065,2424
0293,029,17065,20066,788
0294,029,20066,48067,1247
0301,030,48067,48068,2500
0311,031,48068,20139,1463
0312,031,20139,48069,1142
0321,032,48069,48070,2500
0331,033,48070,20071,1266
0332,033,20071,17072,764
0333,033,17072,17073,1080
0334,033,17073,20074,1168
0335,033,20074,48075,835
0341,034,48075,20076,839
0342,034,20076,48077,1661
0351,035,48077,20078,324
0352,035,20078,17079,1672
0353,035,17079,17080,1538
0354,035,17080,48081,1968
0361,036,48081,20082,1261
0362,036,20082,48083,1238
0371,037,48083,20084,523
0372,037,20084,21085,1799
0373,037,21085,17086,2094
0374,037,17086,20087,745
0375,037,20087,48088,1293
0381,038,48088,48089,2500
0391,039,48089,20090,1272
0392,039,20090,48091,2431
0401,040,48091,20092,527
0402,040,20092,48093,1972
0411,041,48093,48095,3900
0421,042,48095,20097,5879
0422,042,20097,48098,970
0431,043,48098,20099,778
0432,043,20099,52100,1721
0441,044,52100,20102,1820
0442,044,20102,48103,1563
0451,045,48103,20104,245
0452,045,20104,20105,1799
0453,045,20105,60107,2857
0461,046,60107,20109,5025
0462,046,20109,48110,238
0471,047,48110,48111,2469
0481,048,48111,48113,2150
0491,049,48110,48113,2150
0501,050,48113,48112,900
0511,051,48112,52006,2150
0521,052,48112,48007,2150
0531,053,48114,48013,2150
0541,054,48114,48014,2150
0551,055,48115,48114,900
0561,056,48103,48115,2150
0571,057,60107,18106,2437
0572,057,18106,48115,2150
0581,058,48016,48116,2150
0591,059,48018,48116,2150
0601,060,48116,48117,900
0611,061,48117,48098,2150
0621,062,48117,52100,2150
0631,063,48120,48023,2150
0641,064,48120,52024,2150
0651,065,48121,48120,900
0661,066,48091,48121,2150
0671,067,48093,48121,2150
0681,068,52027,48122,2150
0691,069,48030,48122,2150
0701,070,48122,48123,900
0711,071,48123,48088,2150
0721,072,48123,48089,2150
0731,073,48124,48035,2150
0741,074,48124,48037,2150
0751,075,48125,48124,900
0761,076,48081,48125,2150
0771,077,48083,48125,2150
0781,078,48042,48126,2150
0791,079,48045,48126,2150
0801,080,48126,48127,900
0811,081,48127,48075,2150
0821,082,48127,48077,2150
0831,083,48128,48049,2150
0841,084,48128,48051,2150
0851,085,48129,48128,900
0861,086,48069,48129,2150
0871,087,48070,48129,2150
0881,088,48054,48130,2150
0891,089,48055,48130,2150
0901,090,48130,48131,900
0911,091,48131,48067,2150
0921,092,48131,48068,2150
0931,093,48119,48093,2817
0941,094,48133,48119,3451
0951,095,48133,48023,2803
0961,096,48134,48133,5845
0971,097,52137,20136,1926
0972,097,20136,20135,1810
0973,097,20135,48134,5295
0981,098,48132,18140,3750
0982,098,18140,48134,2350
0991,099,48118,48132,6773
1001,100,48095,48118,2819
1011,101,52003,49004,686
1021,102,48138,49004,2150
1031,103,52141,20142,2000
1032,103,20142,20143,2000
1033,103,20143,18144,3611
1034,103,18144,18145,700
1035,103,18145,18146,4100
1036,103,18146,18147,4100
1037,103,18147,18148,4100
1038,103,18148,18149,4100
1039,103,18149,20150,4100
1041,104,20150,52001,4100
1037,103,18147,18148,4100
1038,103,18148,18149,4100
1039,103,18149,20150,4100
1041,104,20150,52001,4100
