SEC_ID,FROM_ADR_ID,TO_ADR_ID,SEC_DIS,PRE_BLOCK_REQ,DIRC_DRIV,ADR1_CHG_SEC_ID_1,ADR1_CHG_SEC_ID_2,ADR1_CHG_SEC_ID_3,ADR2_CHG_SEC_ID_1,ADR2_CHG_SEC_ID_2,ADR2_CHG_SEC_ID_3
001,48001,48008,5875,0,1,010,NULL,NULL,002  ,027  ,NULL
002,48008,48015,8000,0,1,001,027,NULL,003  ,025  ,NULL
003,48015,48019,9289,0,1,002,025  ,NULL,004  ,005  ,NULL
004,48019,52072,2075,0,2,003,005  ,NULL,NULL,NULL,NULL
005,48019,48024,2100,0,1,003,004  ,NULL,006  ,024  ,NULL
006,48024,48030,8315,0,1,005,024  ,NULL,007  ,026  ,NULL
007,48030,48037,8000,0,1,006,026  ,NULL,008  ,028  ,NULL
008,48037,48046,7671,0,1,007,028  ,NULL,009  ,011  ,NULL
009,48046,48048,1750,0,1,008,011  ,NULL,010  ,013  ,NULL
010,48001,48048,2149,0,2,001,NULL,NULL,009  ,013  ,NULL
011,48046,48047,1799,0,1,008,009  ,NULL,012  ,NULL,NULL
012,48047,48050,3100,0,1,011,NULL,NULL,013  ,014  ,NULL
013,48048,48050,2749,0,2,009,010  ,NULL,012  ,014  ,NULL
014,48050,48053,2175,0,1,012,013  ,NULL,015  ,016  ,NULL
015,48053,48054,3700,0,1,014,016  ,NULL,018  ,019  ,NULL
016,48053,48064,2399,0,2,014,015  ,NULL,017  ,028  ,NULL
017,48063,48064,1750,0,2,018,027  ,NULL,016  ,028  ,NULL
018,48054,48063,2749,0,1,015,019  ,NULL,017  ,027  ,NULL
019,48054,48057,4300,0,1,015,018  ,NULL,020  ,021  ,NULL
020,48057,48058,3700,0,1,019,021  ,NULL,023  ,024  ,NULL
021,48057,48068,2399,0,1,019,020  ,NULL,022  ,026  ,NULL
022,48067,48068,1750,0,1,023,025  ,NULL,021  ,026  ,NULL
023,48058,48067,2749,0,2,020,024  ,NULL,022  ,025  ,NULL
024,48024,48058,6191,0,2,005,006  ,NULL,020  ,023  ,NULL
025,48015,48067,3549,0,1,002,003  ,NULL,022  ,023  ,NULL
026,48030,48068,2499,0,2,006,007  ,NULL,021  ,022  ,NULL
027,48008,48063,3549,0,2,001,002  ,NULL,017  ,018  ,NULL
028,48037,48064,2499,0,1,007,008  ,NULL,016  ,017  ,NULL
